,title,company name,link,date listed,salary,job description,Partially visually impaired,Hearing Impaired,LV,HI,MPD,PD,CP
63,Trainee Educational Therapist,SINGAPORE BRAIN DEVELOPMENT CENTRE PTE. LTD.,sg.indeed.com/rc/clk?jk=6691e9d9880b8516&fccid=c606c57cd9203878&vjs=3,Posted4 days ago,"$2,200 - $2,700 a month","This position works with children that have physical, sensory, intellectual and multiple disabilities.
Collaborates with the families of young children with…",3.0,4.0,1,0,1,1,0
64,Packer,INKJET SYSTEMS PTE. LTD.,sg.indeed.com/rc/clk?jk=d21afee0a133c175&fccid=1adb97d859148941&vjs=3,Posted1 day ago,"$2,250 - $2,350 a month","Established in 1999, Inkjet Systems Pte Ltd is a stable 20-year old Singapore factory.
Afternoon shift 12:45 pm to 6 pm.
Morning shift 8:30 am to 12 pm.",3.0,4.0,1,1,1,1,1
65,WAREHOUSE ASSISTANT,WENDY TRANSPORT ENTERPRISE COMPANY,sg.indeed.com/rc/clk?jk=2707762b733ca5a7&fccid=c1459665e7ed6874&vjs=3,Posted12 days ago,"$2,600 - $3,500 a month","2 years of working experience in Warehouse environment.
Possess forklift license will be advantage.
Able to write and read simple English.",2.0,4.0,0,0,0,0,0
66,Freelance Social Media Manager,Innovix,sg.indeed.com/company/Innovix/jobs/Freelance-Social-Media-Manager-ad206eefcb62b2e0?fccid=101c6341f6de4ab4&vjs=3,EmployerActive 1 day ago,"$950 - $1,000 a month","The candidate is required to work at least 2 hours per week, at a work-from-home setup.
Part-time hours: 2 per week.
Job Types: Part-time, Contract, Freelance.",1.0,3.0,0,0,1,1,0
67,Sales Associate,HERMES SINGAPORE (RETAIL) PTE LTD,sg.indeed.com/rc/clk?jk=3c6e86c5143bd2ee&fccid=11c7024094337fb5&vjs=3,Posted10 days ago,"$2,500 - $3,500 a month","Calls on current and potential customers to establish and maintain client relationship.
Responsible for all sales activities in store.",4.0,1.0,1,1,1,1,1
68,Packers,MANCON PTE. LTD.,sg.indeed.com/rc/clk?jk=be9ec2097f078fde&fccid=f729b2791a82fcf5&vjs=3,Posted4 days ago,"$1,400 - $1,700 a month","Able to start work with short notice.
General packing, segregate, dismantle plastic and metal or electronic components.
Able to lift 20~25kg.",4.0,4.0,1,1,1,1,1
69,Admin Support for Schools,FORTRESS INTELLIGENCE PTE. LTD.,sg.indeed.com/rc/clk?jk=5daf0ef1402b2d93&fccid=35a6cf1330618e57&vjs=3,Posted7 days ago,"$1,500 - $1,800 a month","Preferably with 1 year experience in relevant field.
1.6) Assist teachers to oversee students’ safety during recess, school dismissal, field trips, remedial…",3.0,4.0,0,0,0,0,0
70,Junior IT Assistant (Fresh graduate are welcome to apply),ITCAN Pte Ltd,sg.indeed.com/company/ITCAN-Pte-Ltd/jobs/Junior-IT-Assistant-269f29d19ce02359?fccid=dac85444d99b91d5&vjs=3,EmployerActive 2 days ago,"$2,000 - $3,500 a month",Responsible for 1st level troubleshooting in Operating system Managing and updating Windows patches for Desktops and Laptops.,1.0,5.0,1,0,1,1,0
71,Urgent Data Entry And Administration Positions,Singapore,sg.indeed.com/rc/clk?jk=b6ab088c66c34d4a&fccid=3ddb8f68c8f9f588&vjs=3,Posted7 days ago,$28 an hour,"Enter data, maintain records, create reports and financial statements.
Maintains and updates training logs and tracking sheets.",1.0,5.0,1,0,1,1,1
72,Welder 焊工 - All Welcome! #b47197,Anradus Pte Ltd,sg.indeed.com/company/Anradus-Pte-Ltd/jobs/Welder-%E7%84%8A%E5%B7%A5-10858447f19ae0a8?fccid=3de18cfd2560ba9a&vjs=3,Posted1 day ago,"$2,000 - $3,200 a month","Operate welding torch to bond sheetmetal parts together.
Experienced in TIG, MIG and using simple measuring equipment such as vernier caliper, guage.",0.0,4.0,0,1,0,0,0
73,HR Admin Assistant,ITCAN Pte Ltd,sg.indeed.com/company/ITCAN-Pte-Ltd/jobs/Human-Resource-Admin-Assistant-60de2f04e70ed532?fccid=dac85444d99b91d5&vjs=3,EmployerActive 2 days ago,"$2,000 - $3,000 a month","Assist with day to day HR function.
Admin function for the office.
Assist with any HR data reports and analysis.",2.0,3.0,1,0,1,1,1
74,Customer Service Officer,Royal T Group Pte Ltd,sg.indeed.com/company/Royal-T-Group-Pte-Ltd/jobs/Customer-Service-Officer-16166f7ff12a094e?fccid=212f2262b95bc265&vjs=3,Posted4 days ago,"$2,300 - $3,200 a month","Applicants with minimum 2 years’ experience in the field of Customer Service experience will be an advantage.
Customer service: 1 year (Preferred).",3.0,2.0,1,0,1,1,0
75,Process Engineer,Zimplistic Pte Ltd,sg.indeed.com/company/Zimplistic-Pte-Ltd/jobs/Process-Engineer-475f9f859df62a67?fccid=6406c729d7c41d31&vjs=3,Posted4 days ago,"$2,500 - $4,000 a month","Existing knowledge of any programming language (python preferred) or a keen willingness to learn python.
Rotimatic is a food processing platform and can be…",1.0,4.0,1,0,1,1,0
76,SALES ASSISTANT,LIAN SENG HIN TRADING CO (PTE) LTD,sg.indeed.com/rc/clk?jk=974644a7db7f0458&fccid=bca2364c6f538be2&vjs=3,Posted7 days ago,"$2,200 - $2,600 a month","Five Days Week (Required to work 1 weekend per week).
Assist Interior Designers , Contractors or Home Owners in Tiles Selection.
Taking Orders For Delivery.",1.0,3.0,0,0,0,0,0
77,Junior Quantity Surveyor,FACILITY LINK PTE LTD,sg.indeed.com/rc/clk?jk=7f40fd6d75fc7057&fccid=3fdc224c0dc19fa7&vjs=3,Posted9 days ago,"$2,200 - $2,500 a month","A. Preparing and taking off quantities from drawings and tender documents;
B. Request quotation from subcontractors / suppliers and evaluate pricing for…",1.0,3.0,0,0,0,0,0
78,Delivery Driver,JJ Express Services,sg.indeed.com/company/JJ-EXPRESS-SERVICES/jobs/Delivery-Driver-6477cc959cac1768?fccid=645bf336145f635f&vjs=3,EmployerActive 2 days ago,"$3,500 - $6,000 a month","Delivery of grocery goods follow by company's schedule, routes and arrangement.
Valid Class 3 Driving License.
Deliver goods to customer.",0.0,5.0,0,0,1,0,0
79,WSH Coordinator,TIONG SENG CIVIL ENGINEERING (PRIVATE) LIMITED,sg.indeed.com/rc/clk?jk=be2066ded12b63d4&fccid=90ed90165b3dd546&vjs=3,Posted3 days ago,"$3,800 - $4,800 a month","Conduct Environmental, Health and Safety Internal Audits as per OHSAS 18001 and ISO 14001 requirements;
To assist the occupier of the workplaces or other person…",0.0,3.0,1,0,1,1,1
80,Production Technician - Training Provided #51847,Anradus Pte Ltd,sg.indeed.com/company/Anradus-Pte-Ltd/jobs/Production-Technician-3e58d603d241f231?fccid=3de18cfd2560ba9a&vjs=3,Posted1 day ago,"$2,000 - $3,000 a month","Understand the production planning schedule and generate output as per specifications.
Industry/ Organization Type: Manufacturing and Production.",2.0,4.0,0,0,1,1,0
81,storekeeper,KAMATCHE TRADING PTE. LTD.,sg.indeed.com/rc/clk?jk=0885425723a02411&fccid=ba864c000141ec47&vjs=3,Posted2 days ago,"$3,000 - $4,500 a month","Keep a record of sales and restock the store accordingly.
Manage and train store staff.
Plan promotional campaigns for new products or specials.",3.0,4.0,1,1,1,1,1
82,WAREHOUSE MANAGER,A&T CFS PTE. LTD.,sg.indeed.com/rc/clk?jk=c3fb9ad09dde7ff0&fccid=3badeadade7f6f11&vjs=3,Posted1 day ago,"$4,000 - $8,000 a month","Plan and hire field specialists to ensure operations are well managed at all times.
Maintain close relationships with internal and external stakeholders.",2.0,2.0,0,0,0,0,0
83,AIRPORT MANAGER,CITIAIR & HOLIDAYS PTE. LTD.,sg.indeed.com/rc/clk?jk=143410e91d101c77&fccid=dd616958bd9ddc12&vjs=3,PostedJust posted,"$3,500 - $5,000 a month","Analyze airport users’ needs and speak the Sri Lankan language ( Sinhala )and Indian and English.
Develop plans to ensure terminals follow established standards…",3.0,0.0,0,0,0,0,0
84,Data Entry Clerk,KIAN HOCK PILING PTE. LTD.,sg.indeed.com/rc/clk?jk=878c39b594b37c35&fccid=59b6664786a4d27b&vjs=3,Posted11 days ago,"$1,500 - $2,000 a month","Contract renewable every 6 months, can be converted to perm staff if performance is good.
Meticulous and have a keen eye for details with an inquiring mind.",1.0,5.0,0,0,0,0,0
85,Client Advisor (Call Centre),GUCCI SINGAPORE PTE LTD,sg.indeed.com/rc/clk?jk=b7a38cbe3631e242&fccid=c6f953f1c1ed45c2&vjs=3,Posted4 days ago,"$3,000 - $4,500 a month","Keep current with product information and attend pre-season product training meetings.
Fluent in English, knowledge of a second language is a plus.",3.0,0.0,1,0,1,1,0
86,Full/Part time admin,AKK RENTAL PTE. LTD.,sg.indeed.com/rc/clk?jk=3703ff2bb061ebcc&fccid=68c0c71b01b30076&vjs=3,Posted12 days ago,"$1,600 - $2,600 a month","Full time and Part time can apply.
Handling customer inquiries, calls and emails.
Must be detail-oriented and meticulous.",3.0,0.0,0,0,0,0,0
87,DRIVER,RELIANT HUMAN RESOURCE PTE. LTD.,sg.indeed.com/rc/clk?jk=646327e00fb54ad8&fccid=97e7daacb4591919&vjs=3,Posted8 days ago,"$2,300 - $3,200 a month","A. At least 5 years of experience in driving related field.
Following the best practices for safety, both on the road and while loading or unloading a truck.",1.0,5.0,0,0,0,0,0
88,Cleaner,ONE HEART CLEANING PTE. LTD.,sg.indeed.com/rc/clk?jk=1d5eb5578a0690f3&fccid=7f0be979766eb024&vjs=3,Posted8 days ago,"$2,500 - $3,500 a month","Able to start work immediately or at short notice.
Perform assigned cleaning job at different clients place.
Carry out heavy cleaning tasks whenever required.",4.0,4.0,0,0,1,0,0
89,Pass Administrator,BOLLORE LOGISTICS SINGAPORE PTE. LTD.,sg.indeed.com/rc/clk?jk=ffdba971f6ac8cea&fccid=63ae94444c0cbe32&vjs=3,PostedJust posted,"$1,800 - $2,000 a month","Customer service oriented and enjoy interacting with people from all levels.
The incumbent will be part of a larger team within the Logistics department in…",2.0,4.0,1,1,1,1,1
90,Production Technician,Unico Total Solution Pte Ltd,sg.indeed.com/company/UNICO-TOTAL-SOLUTION-PTE-LTD/jobs/Production-Technician-59a1d93fc22601b3?fccid=b53f5cf642ceb3a2&vjs=3,EmployerActive 5 days ago,"$3,600 a month","Competence all processes to increase in line standard output rates.
Control & operate machines and equipment.
Able to perform heavy tasks.",2.0,4.0,0,0,1,1,1
91,Warehouse Assistant,KOONG WOH TONG PTE. LTD.,sg.indeed.com/rc/clk?jk=00224a8cf171b9dd&fccid=7e6c762f640c3de4&vjs=3,Posted4 days ago,"$3,000 - $3,200 a month","6 days per week (able to work on weekends and public holidays).
At least 1 year of working experience in a similar capacity (experience in food/frozen products…",1.0,4.0,1,1,1,1,1
92,IT Support Officer,MAVENSIDE CONSULTING PTE. LTD.,sg.indeed.com/rc/clk?jk=94ea588afb0e101c&fccid=f50ec2a07592df82&vjs=3,Posted7 days ago,"$2,000 - $3,000 a month","Provide technical support to ensure the smooth running of day-to-day operations.
Perform asset management and maintain accurate asset records.",2.0,4.0,1,0,1,1,0
93,Selfies Data Collection Project,TELUS International,sg.indeed.com/company/TELUS-International/jobs/Selfy-Data-Collection-Project-70b11d24d90e2be1?fccid=1a93caa31afcad42&vjs=3,EmployerActive 2 days ago,$25 an hour,"Participants will be asked to take 10 short videos of themselves, while wearing different props (e.g., sun glasses, face masks, hats) or without any props.",1.0,4.0,0,0,1,1,0
94,Administrative Assistant,HONG LEONG CORPORATION HOLDINGS PTE LTD,sg.indeed.com/rc/clk?jk=3fc5430dd9ffc307&fccid=eb205157e716fe1e&vjs=3,Posted12 days ago,"$2,500 - $3,000 a month","Prepare sales orders and delivery orders.
Assist in billing and invoicing.
Minimum 2 years of relevant admin experience.",0.0,4.0,1,1,1,1,1
95,Container Surveryor,NEOLEADER CRANE PTE. LTD.,sg.indeed.com/rc/clk?jk=e0444d08783fd0ae&fccid=e0b0ac169bdd1742&vjs=3,Posted8 days ago,"$1,600 - $2,600 a month",Carry out immediate container exterior survey and submit Equipment Inspection Report for in-coming and out-going container when required.,0.0,4.0,0,0,1,0,0
96,Operation & Customer Experience Associate,POLICYPAL PTE. LTD.,sg.indeed.com/rc/clk?jk=2d4cc6e322810232&fccid=28af6b3566318382&vjs=3,Posted1 day ago,"$2,700 - $4,000 a month","We also believe in helping the community attain relevant knowledge on financial planning through gamification, and offering in-app credits incentives that can…",0.0,4.0,1,1,1,1,0
97,HR ADMIN,MEC ENGINEERING PRIVATE LIMITED,sg.indeed.com/rc/clk?jk=fea2a4f33fc6e7c9&fccid=86abddb040e04ee4&vjs=3,Posted9 days ago,"$2,500 - $3,500 a month",Apply worker to go upgrade course training such as Core trade Tradesman and doing I-submit for them for purpose to let them continue working in Singapore.,1.0,3.0,0,0,0,0,0
98,Dishwasher,XIABUXIABU CATERING MANAGEMENT (SINGAPORE) PTE....,sg.indeed.com/rc/clk?jk=1014edcff43e00f6&fccid=dd616958bd9ddc12&vjs=3,Posted3 days ago,"$2,500 - $3,500 a month",Singapore first Coucou outlet will be opening in Suntec City this year end bringing another selection for diner who come in to the mall to dine and shop.,2.0,5.0,1,1,0,1,1
99,Soft skills trainer (WSQ) - Freelance,Eduquest International Institute,sg.indeed.com/company/Eduquest-International-Institute/jobs/Soft-Skill-Trainer-88829fb1a2bf07e8?fccid=fe7472eb96d45a92&vjs=3,EmployerActive 1 day ago,$25 - $50 an hour,"Must be proficient in Microsoft Office.
The Soft Skills Instructor will provide leadership, coordination, and support for the development and implementation of…",3.0,0.0,0,0,1,1,0
100,Clinical Mental Health Counsellors/Psychologists,ProjectON Pte. Ltd.,sg.indeed.com/company/ProjectON-Pte.-Ltd./jobs/Clinical-Mental-Health-Counsellor-Psychologist-71ad946abe3dd3e6?fccid=2b847e7f92a92df0&vjs=3,Posted3 days ago,$30 - $55 an hour,"Part-time hours: 10-40 per week.
WriteNow will allow counsellors to meet with clients online through a variety of communication modalities, including…",4.0,1.0,0,0,1,1,0
101,Office Administrator,Master Contract Services Pte Ltd,sg.indeed.com/company/Master-Contract-Services-Pte-Ltd/jobs/Office-Administrator-125fa6faf073dc96?fccid=0dd8129d49f492fe&vjs=3,EmployerActive 2 days ago,"$3,700 - $4,200 a month",We are looking for a responsible individual to provide personalized secretarial and administrative support in a well-organized and timely manner.,3.0,4.0,1,1,1,1,1
102,Customer Relation Officer,SNAPHUNT PTE. LTD.,sg.indeed.com/rc/clk?jk=ca74775091f10388&fccid=dd616958bd9ddc12&vjs=3,Posted7 days ago,"$2,000 - $2,500 a month","Attend to walk-in and incoming phone enquiries.
Accurate handling of cash float, while ensuring that credit card, cash and charges are all balanced.",2.0,0.0,1,1,1,1,1
103,Admin Assistant,TZEDEK LAW LLC,sg.indeed.com/company/Tzedek-Law-LLC/jobs/Admin-Assistant-a4b3c7f1825ec85e?fccid=dc310e2b49ef6848&vjs=3,EmployerActive 17 days ago,"$1,500 - $4,000 a month","Filing and scanning of documents,.
Manage calendars and appointments of lawyer,.
Perform data entry, filing, photocopying and faxing,.",2.0,4.0,1,1,1,1,1
104,Junior Events Specialist,Erudite Solutions,sg.indeed.com/company/Erudite-Solutions/jobs/Junior-Event-Specialist-2306e7a7a07fe3bc?fccid=a7eb5cb18cc9879b&vjs=3,Posted3 days ago,"$3,500 - $4,500 a month","Leading and managing teams to achieve a common goal.
Liaising with our MNC clients for event campaigns.
Overseas team bonding retreats and office visits.",0.0,0.0,0,0,1,1,0
105,"Skipper, Yacht",ALPHA MARINE PTE. LTD.,sg.indeed.com/rc/clk?jk=9c832c5deaaa0573&fccid=feae23ba837e2d61&vjs=3,Posted7 days ago,"$2,200 - $3,500 a month","We are looking for Yacht Captain that have leadership qualities, ability to work, respect and communicate with rotating crew on board.",0.0,0.0,0,0,1,0,0
106,Gardener,ECO GARDEN PTE. LTD.,sg.indeed.com/rc/clk?jk=e44eb3405b3d343d&fccid=9f6761c6431ac819&vjs=3,Posted12 days ago,"$1,300 - $1,550 a month","General daily work tasks in relation to landscaping and gardening within property in the contract.
Carry out landscaping work according to requirement of…",3.0,5.0,0,1,1,1,0
107,Part Time Telemarketers,Singapore,sg.indeed.com/rc/clk?jk=aa168063a0ba265b&fccid=3ddb8f68c8f9f588&vjs=3,Posted3 days ago,$10 - $20 an hour,"Hours: 1 weekend + 1 weekday evening (minimum).
Must have good command of English and be able to converse efficiently.",4.0,0.0,1,0,1,0,1
108,Administrative Assistants,ADVENT LAW CORPORATION,sg.indeed.com/rc/clk?jk=8a2098451b9e4daf&fccid=7f86f4614b1a828d&vjs=3,Posted30+ days ago,"$1,800 - $2,500 a month","Proficiency in MS Word, MS Excel, MS Outlook and Adobe Acrobat.
Good typing speed and accuracy.",0.0,4.0,1,1,1,1,1
109,Warehouse Executive,LUZERNE,sg.indeed.com/company/LUZERNE/jobs/Warehouse-Executive-c58f85092f2865ff?fccid=09d47fc3826b8b42&vjs=3,EmployerActive 2 days ago,"$2,300 - $3,000 a month",The Warehouse Executive will work under the supervision of the Manager and team to provide support for the full spectrum of warehouse and orders delivery…,0.0,4.0,1,0,1,1,1
110,Waiter / Waitress,ICE-COLD BEER PTE LTD,sg.indeed.com/rc/clk?jk=f6676eb15eb001f4&fccid=cf77c2a7c2840543&vjs=3,PostedJust posted,"$2,500 - $2,800 a month","Greeting customers and serving customers.
Maintain cleanliness and housekeeping of work areas.
Taking orders and serving food and beverages.",0.0,2.0,0,0,1,1,0
111,Personal Trainer,Anytime Fitness,sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B4R5aOPjwuiEkltIA63X5xBw7asFapMhL7Wn1mW0SPtnNJHZUH3oIn6Xh_la-O2mPCnug_FE1jb5fiv1zpVhc3tN5OR-KfSTMysnd-GDrjXWYnBozDJJ4LNlQziGIpZd0dFUTwPoRMnbqUdA5aq9dvJR3PogU0j9c-U3FMbY-U0H8JYxcGEBSvM9IdKPhLW9pgCUZdRRXzZ1Ul-HaubARshZuiC-ct8ZZZkJOTfcItyFwrQFYwmOKnIFHld6Fh12Fgc382igP4dcUO_mrKxPLWoXWz1hDHYs-oSZeKh4xjOEHfD-3928dc3858tNc38eauM5ShBxDcK2Tgu2FnKvswG56oS4USNQcdcemcnA5oscAOq1HGU3U9Vj0pMzcvhPPfQuufjh-vfr2PhOJXJZvQj_rktft3hrdWDGg5FqvAd1hGGS6CtraRQrIJQS0-XL3Tkr-9vE-3wTu8S_WJ6qZsLaFwaBpMjYU=&p=2&fvj=1&vjs=3,EmployerActive 2 days ago,"$1,500 - $4,000 a month","Able to maintain current client’s retention and also focus on monthly new personal training client’s revenue.
The right candidate should be able to take care of…",1.0,3.0,1,0,1,1,1
112,Mechanical Technician,SG JOBS PTE. LTD.,sg.indeed.com/rc/clk?jk=8a8892d4560b046f&fccid=40e62b1450597bd1&vjs=3,Posted4 days ago,"$2,600 - $3,500 a month","General mechanical work such as packing machine & electrical issue.
Maintenance, troubleshooting, repair of all mechanical and hydraulic- and diesel-powered…",1.0,3.0,0,1,1,1,1
113,Children workshop trainer,De Kinder Club,sg.indeed.com/company/De-Kinder-Club/jobs/Children-Workshop-Trainer-eab3608bb218d7a0?fccid=22115091977b5831&vjs=3,Posted7 days ago,$40 an hour,"We are looking for trainers to conduct art and craft and fitness workshops for children aged 4-10 years old.
Workshop plans available, only required to conduct…",0.0,3.0,1,0,1,1,0
114,Forklift Drivers,Katoen Natie Singapore (Jurong) Pte Ltd,sg.indeed.com/rc/clk?jk=0e36ddafccc7587b&fccid=f9e403b027fed754&vjs=3,Posted30+ days ago,"$3,000 a month","Assist in the warehouse and packaging operations.
Handling different products with different product characteristics.
Managing data by using tablet.",0.0,4.0,0,0,0,0,0
115,Administrative Assistant,Buildables Pte Ltd,sg.indeed.com/company/Buildables-Pte-Ltd/jobs/Administrative-Assistant-7217f99780695708?fccid=c315db3e62dfced0&vjs=3,EmployerActive 1 day ago,"$1,500 - $3,000 a month","Microsoft Office: 1 year (Preferred).
Admin assistant will be responsible for assisting with marketing initiatives and other administrative tasks as needed.",1.0,4.0,1,1,1,1,1
116,Entry Event Coordinator,SOI,sg.indeed.com/company/SOI/jobs/Entry-Event-Coordinator-6753e6a6c12e0ef3?fccid=3c5072b1d09d1b24&vjs=3,EmployerActive 2 days ago,"$2,500 - $4,000 a month","\* A dynamic day-to-day schedule.
\* One-to-one coaching and guidance.
Job Types: Full-time, Permanent, Contract, Temporary, Internship, Fresh graduate.",1.0,2.0,1,0,1,1,1
117,Admin Assistant,JAPAN HOME (RETAIL) PTE. LTD.,sg.indeed.com/rc/clk?jk=c2cf2dd22c5262d6&fccid=3a04c5113eac5291&vjs=3,Posted4 days ago,"$1,800 - $2,500 a month","Handling documentation of incoming shipments, including new stock, import permits, payments etc.
Have to be able to handle shipments from different companies.",0.0,4.0,1,1,1,1,1
118,Storekeeper,VAULT PERSONNEL PTE. LTD.,sg.indeed.com/rc/clk?jk=0aa0fb17b4d18006&fccid=2e356b48d89884b2&vjs=3,Posted4 days ago,"$2,300 - $2,800 a month","Complete daily stock transactions reconciliation to achieve targeted stock accuracy.
Check near expiry, orders for delivery, and status of goods in Quarantine…",0.0,4.0,1,1,1,1,1
119,Part time assistant,PEOPLE IMPACT SINGAPORE,sg.indeed.com/company/PEOPLE-IMPACT-SINGAPORE/jobs/Assistant-8e3eb903cf0ce1d8?fccid=462b9281e84c524e&vjs=3,Posted1 day ago,$10 - $15 an hour,* Some art and craft job. * assist students during break. Job Type: Part-time Salary: $10.00 - $15.00 per hour Schedule: * Weekend availability COVID-19…,0.0,1.0,1,1,1,1,1
120,Laboratory Technician,ANALYTICAL LABORATORIES (SINGAPORE) PTE LTD,sg.indeed.com/rc/clk?jk=388ec21d2b8772bd&fccid=27fc82b7ce6a9f8e&vjs=3,Posted4 days ago,"$2,200 - $2,600 a month","Provide support in quality control activities.
A polytechnic diploma or its equivalent.
With or without experience are welcome to apply.",1.0,3.0,0,0,1,0,0
121,Factory Production Worker,PETCUBES PTE. LTD.,sg.indeed.com/rc/clk?jk=e59f244c100ea4ca&fccid=b9eb8f216c1a6698&vjs=3,Posted12 days ago,"$2,500 - $2,800 a month","(a) managing, sorting and preparing of incoming production supplies;
(d) managing of product exchanges;
(f) assist in monthly inventory count;",1.0,4.0,0,0,1,1,0
122,Bunker Operator,MINERVA BUNKERING PTE. LTD.,sg.indeed.com/rc/clk?jk=842996234dfffe93&fccid=dd616958bd9ddc12&vjs=3,Posted2 days ago,"$4,500 - $7,000 a month","Co-ordinates all aspects of the pre and post-deal trading activity to ensure contract execution runs smoothly.
Strict adherence to company’s Code of Conduct.",2.0,4.0,1,0,1,1,1
123,Part timers (Freelance) Wanted,Acorn Training,sg.indeed.com/company/Acorn-Training/jobs/Part-Timer-8cae22032cdb65c7?fccid=b156ae9866000e44&vjs=3,EmployerActive 4 days ago,$10 - $22 an hour,"Enjoy and open to interaction with students (children/youth/teens).
Part-time hours: 10 per week.
Able to lead games confidently for a class.",0.0,3.0,0,0,0,0,0
124,Management Trainee,Bluegum Sg Pte Ltd,sg.indeed.com/company/Bluegum-Sg-Pte-Ltd/jobs/Management-Trainee-76d0179b9ff71ed9?fccid=e32e27d0c18af045&vjs=3,EmployerActive 1 day ago,"$2,800 - $3,000 a month","Customer service and client presentation.
Handling orders, estimates, invoices and delivery order.
Inventory including stock take, checking and packing.",0.0,2.0,1,0,1,1,1
125,Warehouse assistant,LIAN SENG HIN TRADING CO (PTE) LTD,sg.indeed.com/rc/clk?jk=0c1a7843995a8282&fccid=bca2364c6f538be2&vjs=3,Posted7 days ago,"$2,200 - $2,800 a month","Ensure warehouse operations runs smoothly.
Ensure safety and housekeeping in the warehouse.
Preferably with 2 to 3 years of warehouse experience.",0.0,4.0,1,1,1,1,1
126,Financial Advisors (Students are Welcome),Advisors' Clique,sg.indeed.com/company/Advisors'-Clique/jobs/Financial-Advisor-f7b326d90fd25ed5?fccid=ab740dfcf3b82d14&vjs=3,Posted1 day ago,"$5,000 - $10,000 a month","\* Diploma/Degree in any field.
Join us in learning how we help clients to plan and achieve their financial / retirement goals by: *.",3.0,3.0,0,0,0,0,1
127,Electronic Packers Changi X3,Singapore,sg.indeed.com/rc/clk?jk=79de1e2210cff0ac&fccid=3ddb8f68c8f9f588&vjs=3,Posted7 days ago,$10 an hour,Able to lift around 10kg of loads.,3.0,4.0,0,1,1,1,1
